invoice_id,po_id,vendor_id,vendor_name,invoice_date,due_date,invoice_amount,payment_terms_days,actual_payment_days,status,discrepancy_flag,discrepancy_amount
INV-3028,PO-2196,V007,DataMind Analytics,2024-03-02,2024-03-17,111428.05,15,45,Overdue,Yes,4698.27
INV-3029,PO-2120,V006,EcoSupply Co,2024-03-02,2024-05-31,176919.9,90,13,Pending,No,0
INV-3030,PO-2296,V002,GreenBridge Logistics,2024-01-01,2024-03-31,85338.37,90,53,Paid,Yes,3574.83
INV-3031,PO-2186,V009,CapitalSoft,2024-02-22,2024-03-08,35789.67,15,25,Overdue,No,0
INV-3032,PO-2290,V002,GreenBridge Logistics,2024-02-24,2024-05-24,46856.18,90,33,Paid,No,0
INV-3033,PO-2092,V006,EcoSupply Co,2024-03-02,2024-05-01,183758.26,60,27,Pending,No,0
INV-3034,PO-2204,V006,EcoSupply Co,2024-02-14,2024-04-14,167948.6,60,33,Premature Payment,No,0
INV-3035,PO-2206,V003,PrimeConsult Inc,2024-03-06,2024-03-21,256572.18,15,15,Pending,Yes,591.37
INV-3036,PO-2047,V006,EcoSupply Co,2024-01-01,2024-03-31,240355.69,90,90,Overdue,Yes,887.62
INV-3037,PO-2190,V003,PrimeConsult Inc,2024-01-29,2024-04-28,141764.76,90,56,Paid,No,0
INV-3038,PO-2030,V002,GreenBridge Logistics,2024-02-06,2024-04-06,182904.14,60,52,Overdue,No,0
INV-3039,PO-2100,V003,PrimeConsult Inc,2024-02-06,2024-04-06,192267.25,60,2,Paid,No,0
INV-3040,PO-2019,V001,TechNova Solutions,2024-01-22,2024-04-21,235295.85,90,67,Overdue,No,0
INV-3041,PO-2181,V006,EcoSupply Co,2024-02-21,2024-03-07,72157.36,15,11,Paid,No,0
INV-3042,PO-2287,V007,DataMind Analytics,2024-02-06,2024-03-07,121932.56,30,34,Paid,Yes,4603.97
INV-3043,PO-2295,V010,BuildRight Facilities,2024-02-21,2024-04-06,104754.53,45,29,Overdue,Yes,2328.32
INV-3044,PO-2060,V001,TechNova Solutions,2024-02-13,2024-04-13,78701.7,60,65,Paid,Yes,2565.53
INV-3045,PO-2194,V009,CapitalSoft,2024-02-26,2024-05-26,287034.45,90,105,Disputed,No,0
INV-3046,PO-2015,V010,BuildRight Facilities,2024-02-28,2024-03-29,145347.15,30,49,Pending,No,0
INV-3047,PO-2162,V008,SwiftShip Partners,2024-01-30,2024-02-14,35322.36,15,25,Overdue,Yes,3416.87
INV-3048,PO-2148,V007,DataMind Analytics,2024-02-01,2024-05-01,286655.98,90,69,Paid,No,0
INV-3049,PO-2112,V002,GreenBridge Logistics,2024-02-15,2024-03-31,119979.73,45,10,Overdue,Yes,2435.12
INV-3050,PO-2106,V010,BuildRight Facilities,2024-02-03,2024-03-04,81088.2,30,32,Disputed,Yes,3703.6
INV-3051,PO-2041,V004,OfficeEdge Corp,2024-01-16,2024-02-15,61228.58,30,54,Overdue,Yes,3916.8
INV-3052,PO-2253,V008,SwiftShip Partners,2024-02-10,2024-05-10,184341.18,90,6,Disputed,No,0
INV-3053,PO-2204,V010,BuildRight Facilities,2024-02-05,2024-04-05,260696.27,60,24,Premature Payment,No,0
INV-3054,PO-2277,V004,OfficeEdge Corp,2024-03-02,2024-04-01,225175.73,30,4,Overdue,No,0
INV-3055,PO-2266,V001,TechNova Solutions,2024-01-16,2024-03-16,150991.33,60,88,Disputed,No,0
INV-3056,PO-2167,V008,SwiftShip Partners,2024-01-13,2024-01-28,95037.55,15,1,Overdue,No,0
INV-3057,PO-2188,V006,EcoSupply Co,2024-02-13,2024-03-29,184027.04,45,24,Overdue,Yes,1420.1
INV-3058,PO-2206,V003,PrimeConsult Inc,2024-02-16,2024-03-17,149881.62,30,27,Disputed,No,0
INV-3059,PO-2121,V005,CloudSystems Ltd,2024-02-04,2024-05-04,135493.33,90,17,Premature Payment,Yes,4089.53
INV-3060,PO-2091,V009,CapitalSoft,2024-01-02,2024-03-02,129949.52,60,26,Paid,Yes,2417.64
INV-3061,PO-2129,V007,DataMind Analytics,2024-02-08,2024-05-08,150129.55,90,69,Disputed,No,0
INV-3062,PO-2244,V009,CapitalSoft,2024-02-02,2024-02-17,257621.34,15,26,Paid,Yes,394.18
INV-3063,PO-2177,V002,GreenBridge Logistics,2024-02-02,2024-03-18,135231.52,45,34,Pending,No,0
INV-3064,PO-2146,V001,TechNova Solutions,2024-01-23,2024-03-08,123822.39,45,26,Overdue,No,0
INV-3065,PO-2196,V006,EcoSupply Co,2024-01-11,2024-04-10,97864.54,90,63,Disputed,No,0
INV-3066,PO-2293,V010,BuildRight Facilities,2024-02-23,2024-03-24,86313.81,30,56,Paid,No,0
INV-3067,PO-2137,V007,DataMind Analytics,2024-02-07,2024-02-22,254745.78,15,6,Paid,Yes,1636.06
INV-3068,PO-2212,V010,BuildRight Facilities,2024-02-27,2024-04-12,193570.97,45,57,Disputed,No,0
INV-3069,PO-2108,V003,PrimeConsult Inc,2024-01-11,2024-01-26,55573.92,15,9,Disputed,No,0
INV-3070,PO-2014,V003,PrimeConsult Inc,2024-01-07,2024-01-22,119415.15,15,5,Premature Payment,No,0
INV-3071,PO-2159,V007,DataMind Analytics,2024-02-19,2024-03-05,157432.85,15,7,Paid,Yes,513.13
INV-3072,PO-2015,V004,OfficeEdge Corp,2024-01-22,2024-03-07,74595.26,45,57,Overdue,Yes,2681.04
INV-3073,PO-2281,V001,TechNova Solutions,2024-02-04,2024-03-20,199232.97,45,61,Pending,No,0
INV-3074,PO-2269,V008,SwiftShip Partners,2024-02-25,2024-05-25,40966.91,90,23,Overdue,No,0
INV-3075,PO-2212,V009,CapitalSoft,2024-02-16,2024-04-01,93243.57,45,62,Overdue,Yes,2265.12
INV-3076,PO-2274,V005,CloudSystems Ltd,2024-03-01,2024-03-16,47137.4,15,1,Overdue,Yes,1785.04
INV-3077,PO-2119,V001,TechNova Solutions,2024-02-07,2024-04-07,206487.1,60,62,Paid,No,0
INV-3078,PO-2128,V001,TechNova Solutions,2024-02-20,2024-03-21,164689.55,30,27,Premature Payment,No,0
INV-3079,PO-2265,V003,PrimeConsult Inc,2024-01-31,2024-03-31,214623.93,60,49,Paid,Yes,2168.97
INV-3080,PO-2212,V010,BuildRight Facilities,2024-02-04,2024-03-20,242368.69,45,37,Overdue,No,0
INV-3081,PO-2140,V004,OfficeEdge Corp,2024-02-27,2024-03-28,256117.87,30,9,Paid,No,0
INV-3082,PO-2096,V010,BuildRight Facilities,2024-01-03,2024-02-17,147852.81,45,3,Paid,No,0
INV-3083,PO-2008,V002,GreenBridge Logistics,2024-01-20,2024-02-19,84993.3,30,46,Pending,Yes,1240.77
INV-3084,PO-2238,V008,SwiftShip Partners,2024-02-17,2024-04-17,65547.83,60,40,Disputed,No,0
INV-3085,PO-2279,V001,TechNova Solutions,2024-01-10,2024-02-09,99409.47,30,4,Paid,No,0
INV-3086,PO-2198,V008,SwiftShip Partners,2024-02-01,2024-03-17,54890.32,45,49,Disputed,Yes,4875.53
INV-3087,PO-2243,V008,SwiftShip Partners,2024-01-27,2024-02-11,74525.08,15,13,Pending,Yes,2653.58
INV-3088,PO-2130,V007,DataMind Analytics,2024-01-16,2024-03-01,204591.97,45,42,Paid,Yes,3749.15
INV-3089,PO-2223,V008,SwiftShip Partners,2024-01-31,2024-03-01,191736.74,30,24,Premature Payment,Yes,4869.04
INV-3090,PO-2298,V006,EcoSupply Co,2024-01-06,2024-02-20,5012.78,45,75,Paid,Yes,143.76
INV-3091,PO-2174,V008,SwiftShip Partners,2024-01-12,2024-02-11,206677.76,30,24,Disputed,Yes,872.72
INV-3092,PO-2163,V001,TechNova Solutions,2024-01-30,2024-02-29,18402.65,30,45,Overdue,Yes,716.55
INV-3093,PO-2069,V009,CapitalSoft,2024-02-15,2024-03-31,236674.27,45,57,Disputed,Yes,3477.32
INV-3094,PO-2098,V005,CloudSystems Ltd,2024-03-03,2024-05-02,269649.58,60,57,Overdue,No,0
INV-3095,PO-2036,V010,BuildRight Facilities,2024-01-21,2024-03-06,56394.71,45,42,Disputed,No,0
INV-3096,PO-2260,V009,CapitalSoft,2024-01-01,2024-02-15,46930.13,45,34,Overdue,No,0
INV-3097,PO-2165,V007,DataMind Analytics,2024-01-31,2024-02-15,220230.49,15,40,Premature Payment,No,0
INV-3098,PO-2283,V002,GreenBridge Logistics,2024-03-04,2024-06-02,197657.68,90,105,Pending,No,0
INV-3099,PO-2023,V003,PrimeConsult Inc,2024-01-09,2024-02-23,184105.25,45,53,Overdue,Yes,571.66
INV-3100,PO-2251,V003,PrimeConsult Inc,2024-02-19,2024-03-05,54002.32,15,13,Paid,Yes,583.89
INV-3101,PO-2007,V009,CapitalSoft,2024-01-10,2024-04-09,187379.16,90,33,Paid,Yes,3069.17
INV-3102,PO-2189,V004,OfficeEdge Corp,2024-02-23,2024-03-09,196896.93,15,30,Disputed,Yes,1868.54
INV-3103,PO-2111,V001,TechNova Solutions,2024-01-10,2024-02-24,247181.07,45,68,Paid,Yes,4188.84
INV-3104,PO-2292,V009,CapitalSoft,2024-02-01,2024-03-02,29587.22,30,35,Pending,Yes,2678.34
INV-3105,PO-2235,V003,PrimeConsult Inc,2024-02-15,2024-05-15,167747.83,90,54,Disputed,No,0
INV-3106,PO-2173,V007,DataMind Analytics,2024-03-05,2024-04-04,264905.79,30,51,Paid,No,0
INV-3107,PO-2191,V003,PrimeConsult Inc,2024-02-11,2024-05-11,160403.19,90,57,Premature Payment,No,0
INV-3108,PO-2193,V007,DataMind Analytics,2024-01-28,2024-03-28,229373.22,60,42,Overdue,No,0
INV-3109,PO-2001,V009,CapitalSoft,2024-02-20,2024-04-05,277881.0,45,47,Premature Payment,No,0
INV-3110,PO-2154,V001,TechNova Solutions,2024-01-01,2024-03-31,294895.46,90,3,Overdue,No,0
INV-3111,PO-2285,V004,OfficeEdge Corp,2024-03-06,2024-04-20,64839.43,45,3,Disputed,No,0
INV-3112,PO-2071,V010,BuildRight Facilities,2024-01-20,2024-02-19,277813.77,30,7,Paid,No,0
INV-3113,PO-2293,V005,CloudSystems Ltd,2024-01-12,2024-04-11,110441.33,90,32,Paid,No,0
INV-3114,PO-2089,V007,DataMind Analytics,2024-03-02,2024-04-01,170934.95,30,47,Paid,No,0
INV-3115,PO-2020,V008,SwiftShip Partners,2024-02-08,2024-05-08,247798.72,90,105,Premature Payment,No,0
INV-3116,PO-2062,V010,BuildRight Facilities,2024-02-23,2024-03-09,114773.06,15,22,Pending,No,0
INV-3117,PO-2157,V004,OfficeEdge Corp,2024-01-07,2024-04-06,224429.76,90,119,Paid,No,0
INV-3118,PO-2079,V009,CapitalSoft,2024-01-29,2024-04-28,12834.08,90,73,Paid,No,0
INV-3119,PO-2047,V001,TechNova Solutions,2024-03-05,2024-05-04,202253.76,60,58,Disputed,No,0
INV-3120,PO-2281,V004,OfficeEdge Corp,2024-01-07,2024-03-07,129864.73,60,19,Paid,Yes,2431.69
INV-3121,PO-2287,V007,DataMind Analytics,2024-03-02,2024-05-01,79136.11,60,65,Pending,Yes,3833.96
INV-3122,PO-2125,V004,OfficeEdge Corp,2024-02-01,2024-05-01,146614.4,90,26,Overdue,No,0
INV-3123,PO-2058,V002,GreenBridge Logistics,2024-01-12,2024-03-12,80244.0,60,42,Overdue,No,0
INV-3124,PO-2157,V007,DataMind Analytics,2024-01-04,2024-02-18,127350.41,45,25,Pending,No,0
INV-3125,PO-2226,V003,PrimeConsult Inc,2024-01-19,2024-04-18,296301.75,90,106,Premature Payment,No,0
INV-3126,PO-2058,V001,TechNova Solutions,2024-01-11,2024-02-10,277301.86,30,13,Overdue,Yes,3812.9
INV-3127,PO-2176,V001,TechNova Solutions,2024-01-02,2024-04-01,73292.97,90,119,Paid,No,0
INV-3128,PO-2105,V002,GreenBridge Logistics,2024-01-28,2024-03-28,91882.86,60,3,Pending,No,0
INV-3129,PO-2193,V009,CapitalSoft,2024-01-03,2024-02-17,157218.13,45,71,Pending,Yes,3505.85
INV-3130,PO-2028,V010,BuildRight Facilities,2024-02-04,2024-05-04,271859.07,90,6,Paid,Yes,1491.67
INV-3131,PO-2056,V008,SwiftShip Partners,2024-02-16,2024-03-02,196599.98,15,5,Pending,No,0
INV-3132,PO-2162,V001,TechNova Solutions,2024-01-13,2024-03-13,88102.43,60,30,Premature Payment,No,0
INV-3133,PO-2288,V008,SwiftShip Partners,2024-02-28,2024-05-28,260098.44,90,12,Paid,No,0
INV-3134,PO-2010,V001,TechNova Solutions,2024-01-21,2024-04-20,12405.84,90,40,Pending,No,0
INV-3135,PO-2032,V006,EcoSupply Co,2024-02-05,2024-03-21,205451.25,45,39,Paid,No,0
INV-3136,PO-2071,V005,CloudSystems Ltd,2024-02-20,2024-03-06,263663.84,15,36,Premature Payment,Yes,843.37
INV-3137,PO-2219,V002,GreenBridge Logistics,2024-01-20,2024-04-19,219101.95,90,87,Overdue,Yes,2144.93
INV-3138,PO-2071,V005,CloudSystems Ltd,2024-01-26,2024-03-11,272965.75,45,58,Overdue,Yes,3297.12
INV-3139,PO-2163,V005,CloudSystems Ltd,2024-01-21,2024-04-20,206715.36,90,117,Paid,Yes,3315.54
INV-3140,PO-2212,V002,GreenBridge Logistics,2024-02-10,2024-02-25,167423.42,15,12,Pending,Yes,3662.69
INV-3141,PO-2137,V007,DataMind Analytics,2024-01-04,2024-02-18,91352.76,45,20,Disputed,Yes,744.57
INV-3142,PO-2069,V010,BuildRight Facilities,2024-03-02,2024-04-01,170329.41,30,39,Paid,Yes,1860.38
INV-3143,PO-2243,V009,CapitalSoft,2024-03-03,2024-05-02,253918.4,60,84,Pending,No,0
INV-3144,PO-2114,V003,PrimeConsult Inc,2024-02-22,2024-03-23,49554.02,30,3,Pending,Yes,4634.63
INV-3145,PO-2167,V004,OfficeEdge Corp,2024-03-03,2024-03-18,227454.09,15,12,Premature Payment,No,0
INV-3146,PO-2161,V008,SwiftShip Partners,2024-02-18,2024-04-18,266332.28,60,52,Disputed,No,0
INV-3147,PO-2234,V007,DataMind Analytics,2024-02-27,2024-05-27,183645.71,90,77,Overdue,Yes,2651.18
INV-3148,PO-2098,V001,TechNova Solutions,2024-01-07,2024-02-06,263395.09,30,34,Overdue,Yes,2832.73
INV-3149,PO-2028,V005,CloudSystems Ltd,2024-02-07,2024-03-23,132146.39,45,37,Pending,No,0
INV-3150,PO-2093,V009,CapitalSoft,2024-01-15,2024-03-15,271150.86,60,83,Pending,No,0
INV-3151,PO-2013,V010,BuildRight Facilities,2024-02-27,2024-05-27,281383.82,90,18,Pending,No,0
INV-3152,PO-2084,V003,PrimeConsult Inc,2024-02-11,2024-03-12,136377.38,30,57,Pending,No,0
INV-3153,PO-2262,V002,GreenBridge Logistics,2024-02-19,2024-04-19,27811.78,60,82,Pending,No,0
INV-3154,PO-2084,V010,BuildRight Facilities,2024-01-20,2024-03-20,284951.29,60,71,Pending,Yes,4570.04
INV-3155,PO-2093,V003,PrimeConsult Inc,2024-02-06,2024-02-21,54070.6,15,27,Pending,No,0
INV-3156,PO-2235,V002,GreenBridge Logistics,2024-01-02,2024-02-01,269613.3,30,1,Overdue,No,0
INV-3157,PO-2112,V008,SwiftShip Partners,2024-01-31,2024-04-30,256695.61,90,104,Paid,No,0
INV-3158,PO-2126,V010,BuildRight Facilities,2024-01-01,2024-03-01,198011.45,60,53,Pending,No,0
INV-3159,PO-2179,V009,CapitalSoft,2024-01-08,2024-04-07,83794.82,90,105,Disputed,Yes,1005.72
INV-3160,PO-2170,V001,TechNova Solutions,2024-02-08,2024-02-23,44039.64,15,43,Overdue,No,0
INV-3161,PO-2234,V002,GreenBridge Logistics,2024-01-23,2024-03-23,15184.89,60,23,Paid,No,0
INV-3162,PO-2195,V010,BuildRight Facilities,2024-02-17,2024-03-03,108376.5,15,6,Disputed,No,0
INV-3163,PO-2169,V002,GreenBridge Logistics,2024-02-05,2024-05-05,227653.38,90,9,Paid,Yes,697.91
INV-3164,PO-2248,V009,CapitalSoft,2024-01-12,2024-02-11,124420.49,30,45,Paid,Yes,635.58
INV-3165,PO-2270,V010,BuildRight Facilities,2024-02-03,2024-03-19,280200.56,45,55,Overdue,No,0
INV-3166,PO-2253,V010,BuildRight Facilities,2024-03-04,2024-04-18,298509.79,45,17,Overdue,No,0
INV-3167,PO-2239,V003,PrimeConsult Inc,2024-01-04,2024-02-03,265157.27,30,46,Paid,Yes,107.75
INV-3168,PO-2024,V002,GreenBridge Logistics,2024-02-22,2024-03-23,221371.78,30,52,Overdue,No,0
INV-3169,PO-2035,V006,EcoSupply Co,2024-02-02,2024-03-03,105220.19,30,1,Overdue,No,0
INV-3170,PO-2203,V005,CloudSystems Ltd,2024-02-13,2024-05-13,90435.06,90,42,Disputed,Yes,3460.6
INV-3171,PO-2243,V010,BuildRight Facilities,2024-03-02,2024-03-17,184990.01,15,12,Paid,No,0
INV-3172,PO-2237,V001,TechNova Solutions,2024-02-12,2024-04-12,193872.84,60,20,Overdue,No,0
INV-3173,PO-2107,V007,DataMind Analytics,2024-01-03,2024-01-18,278373.1,15,34,Paid,No,0
INV-3174,PO-2174,V010,BuildRight Facilities,2024-01-04,2024-02-18,205805.24,45,9,Premature Payment,No,0
INV-3175,PO-2162,V007,DataMind Analytics,2024-02-09,2024-03-10,188140.0,30,37,Overdue,Yes,3016.44
INV-3176,PO-2155,V001,TechNova Solutions,2024-02-27,2024-03-13,81813.48,15,17,Overdue,No,0
INV-3177,PO-2048,V004,OfficeEdge Corp,2024-01-26,2024-02-25,157767.58,30,26,Paid,No,0
INV-3178,PO-2269,V008,SwiftShip Partners,2024-03-02,2024-05-01,152045.41,60,63,Paid,No,0
INV-3179,PO-2019,V005,CloudSystems Ltd,2024-01-27,2024-02-26,232772.2,30,26,Pending,No,0
INV-3180,PO-2171,V008,SwiftShip Partners,2024-01-12,2024-04-11,116582.67,90,86,Paid,No,0
INV-3181,PO-2296,V008,SwiftShip Partners,2024-01-03,2024-01-18,266811.17,15,18,Pending,No,0
INV-3182,PO-2273,V005,CloudSystems Ltd,2024-02-05,2024-03-06,191835.83,30,30,Paid,No,0
INV-3183,PO-2008,V006,EcoSupply Co,2024-01-15,2024-01-30,231949.74,15,14,Paid,No,0
INV-3184,PO-2073,V010,BuildRight Facilities,2024-02-04,2024-02-19,168107.92,15,13,Paid,No,0
INV-3185,PO-2026,V005,CloudSystems Ltd,2024-02-26,2024-03-27,172437.84,30,26,Paid,No,0
INV-3186,PO-2201,V003,PrimeConsult Inc,2024-02-24,2024-03-10,9183.31,15,11,Paid,No,0
INV-3187,PO-2171,V003,PrimeConsult Inc,2024-02-09,2024-05-09,211550.94,90,95,Pending,Yes,327.34
INV-3188,PO-2240,V004,OfficeEdge Corp,2024-01-12,2024-04-11,214013.16,90,86,Premature Payment,Yes,305.51
INV-3189,PO-2133,V002,GreenBridge Logistics,2024-01-19,2024-03-19,136947.46,60,62,Paid,No,0
INV-3190,PO-2244,V006,EcoSupply Co,2024-01-09,2024-02-23,117927.04,45,45,Paid,No,0
INV-3191,PO-2261,V002,GreenBridge Logistics,2024-01-17,2024-03-17,105756.53,60,57,Paid,No,0
INV-3192,PO-2273,V002,GreenBridge Logistics,2024-02-08,2024-02-23,122002.95,15,15,Paid,No,0
INV-3193,PO-2197,V008,SwiftShip Partners,2024-03-02,2024-05-01,120544.53,60,58,Pending,No,0
INV-3194,PO-2279,V002,GreenBridge Logistics,2024-02-13,2024-05-13,102543.89,90,91,Pending,Yes,305.25
INV-3195,PO-2167,V004,OfficeEdge Corp,2024-02-29,2024-03-15,52339.09,15,19,Pending,No,0
INV-3196,PO-2195,V009,CapitalSoft,2024-01-14,2024-03-14,29747.35,60,57,Paid,Yes,81.32
INV-3197,PO-2076,V006,EcoSupply Co,2024-01-01,2024-01-16,148541.4,15,11,Paid,No,0
INV-3198,PO-2154,V003,PrimeConsult Inc,2024-02-10,2024-03-26,136165.84,45,46,Pending,Yes,138.05
INV-3199,PO-2299,V010,BuildRight Facilities,2024-01-12,2024-02-26,238406.82,45,46,Pending,No,0
INV-3200,PO-2190,V001,TechNova Solutions,2024-01-08,2024-04-07,183641.48,90,91,Pending,No,0
INV-3201,PO-2145,V009,CapitalSoft,2024-01-15,2024-01-30,290385.91,15,18,Pending,No,0
INV-3202,PO-2280,V001,TechNova Solutions,2024-02-25,2024-05-25,70954.73,90,91,Pending,Yes,232.71
INV-3203,PO-2214,V004,OfficeEdge Corp,2024-02-16,2024-04-16,198915.02,60,57,Paid,Yes,429.5
INV-3204,PO-2250,V003,PrimeConsult Inc,2024-01-19,2024-02-18,86897.03,30,27,Paid,No,0
INV-3205,PO-2093,V007,DataMind Analytics,2024-02-24,2024-03-25,292505.02,30,26,Paid,Yes,437.07
INV-3206,PO-2218,V008,SwiftShip Partners,2024-01-24,2024-04-23,153069.77,90,92,Paid,No,0
INV-3207,PO-2280,V010,BuildRight Facilities,2024-02-22,2024-04-22,2725.28,60,58,Pending,No,0
INV-3208,PO-2298,V010,BuildRight Facilities,2024-01-15,2024-01-30,110407.52,15,19,Paid,No,0
INV-3209,PO-2265,V008,SwiftShip Partners,2024-02-29,2024-03-15,288540.46,15,12,Pending,No,0
INV-3210,PO-2028,V002,GreenBridge Logistics,2024-02-09,2024-05-09,157245.36,90,86,Paid,No,0
INV-3211,PO-2216,V006,EcoSupply Co,2024-02-12,2024-02-27,160742.46,15,17,Paid,Yes,308.28
INV-3212,PO-2032,V006,EcoSupply Co,2024-02-03,2024-03-19,288194.1,45,44,Paid,No,0
INV-3213,PO-2147,V008,SwiftShip Partners,2024-01-04,2024-04-03,173653.26,90,85,Pending,No,0
INV-3214,PO-2068,V008,SwiftShip Partners,2024-02-02,2024-05-02,25211.79,90,86,Overdue,No,0
INV-3215,PO-2229,V010,BuildRight Facilities,2024-01-20,2024-03-05,84651.09,45,40,Pending,No,0
INV-3216,PO-2044,V006,EcoSupply Co,2024-02-13,2024-03-29,242448.29,45,43,Paid,No,0
INV-3217,PO-2226,V003,PrimeConsult Inc,2024-01-31,2024-03-01,178865.46,30,32,Pending,Yes,396.67
INV-3218,PO-2086,V003,PrimeConsult Inc,2024-01-07,2024-02-21,63651.6,45,40,Pending,No,0
INV-3219,PO-2200,V008,SwiftShip Partners,2024-02-18,2024-04-03,119924.07,45,47,Pending,No,0
INV-3220,PO-2272,V008,SwiftShip Partners,2024-02-10,2024-05-10,79156.23,90,91,Paid,Yes,221.9
INV-3221,PO-2172,V001,TechNova Solutions,2024-02-04,2024-05-04,29660.61,90,95,Paid,Yes,324.72
INV-3222,PO-2100,V005,CloudSystems Ltd,2024-01-31,2024-02-15,80492.8,15,14,Pending,Yes,257.5
INV-3223,PO-2007,V009,CapitalSoft,2024-01-09,2024-02-08,101553.28,30,30,Paid,No,0
INV-3224,PO-2129,V007,DataMind Analytics,2024-02-06,2024-02-21,29760.78,15,20,Paid,No,0
INV-3225,PO-2062,V004,OfficeEdge Corp,2024-01-16,2024-04-15,10695.51,90,86,Paid,No,0
INV-3226,PO-2095,V002,GreenBridge Logistics,2024-01-15,2024-02-14,257004.03,30,31,Pending,No,0
INV-3227,PO-2166,V005,CloudSystems Ltd,2024-02-24,2024-03-10,88723.3,15,20,Paid,No,0
INV-3228,PO-2133,V005,CloudSystems Ltd,2024-01-08,2024-01-23,49008.83,15,14,Pending,Yes,224.87
INV-3229,PO-2092,V005,CloudSystems Ltd,2024-02-20,2024-03-06,53789.88,15,17,Premature Payment,No,0
INV-3230,PO-2133,V008,SwiftShip Partners,2024-02-26,2024-05-26,32974.93,90,91,Paid,No,0
INV-3231,PO-2077,V002,GreenBridge Logistics,2024-03-04,2024-03-19,10940.84,15,19,Pending,Yes,58.44
INV-3232,PO-2295,V001,TechNova Solutions,2024-02-20,2024-04-20,279901.67,60,59,Paid,No,0
INV-3233,PO-2002,V001,TechNova Solutions,2024-01-29,2024-03-29,154857.21,60,62,Paid,No,0
INV-3234,PO-2156,V007,DataMind Analytics,2024-02-12,2024-04-12,286269.53,60,56,Paid,No,0
INV-3235,PO-2236,V007,DataMind Analytics,2024-01-11,2024-01-26,17030.8,15,15,Paid,No,0
INV-3236,PO-2200,V005,CloudSystems Ltd,2024-02-08,2024-03-09,194513.88,30,33,Paid,Yes,347.33
INV-3237,PO-2019,V002,GreenBridge Logistics,2024-01-18,2024-03-03,189369.81,45,47,Paid,Yes,380.9
INV-3238,PO-2256,V004,OfficeEdge Corp,2024-02-09,2024-05-09,8096.7,90,88,Paid,No,0
